"ID","Sex","DOC","County","CountyEthnicDensity","ChildRaceOrEthnicity","ChildLatinoHeritage","MaternalGrandmotherPlaceOfBirth","MaternalGrandfatherPlaceOfBirth","ParternalGrandmotherPlaceOfBirth","ParternalGrandfatherPlaceOfBirth","MotherEducationLevel","FatherEducationLevel","MotherEdu","FatherEdu","ParentMeanEdu","SESFormIncome"
"EF1021C1","M","1/21/17","Travis",0.33,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","3","N/A",16,9,12.5,35000
"EF1022C1","F","2/19/17","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",19,21,20,90000
"EF1023C1","M","2/18/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",16,19,17.5,110000
"EF1026C2","F","2/11/17","Hays",0.4,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,18,18,210000
"EF1028C1","F","3/5/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,68000
"EF1028C2","F","3/5/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,68000
"EF1028C3","M","3/5/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,68000
"EF1029C1","M","3/11/17","Hays",0.52,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,13,16.5,51000
"EF1029C2","M","3/11/17","Travis",0.52,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,13,16.5,51000
"EF1030C1","F","4/1/17","Travis",0.52,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","5",20,21,20.5,1e+05
"EF1030C2","F","4/1/18","Travis",0.52,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","5",20,21,20.5,52000
"EF1031C1","M","3/25/17","Williamson",0.02,"Mixed","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,150000
"EF1032C1","M","3/18/17","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","2","N/A",13,NA,13,0
"EF1033C1","F","3/19/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,120000
"EF1034C1","M","4/16/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","3","N/A",16,18,17,110000
"EF1036C1","M","3/14/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,22,20,240000
"EF1037C1","F","3/25/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,2e+05
"EF1038C1","M","3/26/17","Travis",0.02,"Mixed","Y","N/A","N/A","N/A","N/A","5","N/A",21,18,19.5,75000
"EF1040C1","F","4/9/17","Bell",0.04,"Mixed","Y","N/A","N/A","N/A","N/A","3","N/A",16,20,18,110000
"EF1041C1","M","4/15/17","Williamson",0.02,"Mixed","N","N/A","N/A","N/A","N/A","4","N/A",18,13,15.5,62000
"EF1043C1","F","4/22/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,1e+05
"EF1043C2","M","4/22/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,1e+05
"EF1043C3","M","4/22/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,1e+05
"EF1043C4","F","4/21/18","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,105000
"EF1049C1","M","5/14/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",21,20,20.5,160000
"EF1051C1","M","5/21/17","Travis",0.33,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","N/A","3",14,15,14.5,3e+05
